Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,23.838409241838943,23.795070201664445,25.145770776117847,25.472756322714095,25.002587225850733,25.469579702308054,23.057834612100164,24.155855063048237 
 01/01  02:00:00,19.125,23.326347676948488,23.318007519484924,24.476253706732547,24.888369923058766,24.436595494708518,24.772261771096809,22.413669556004753,23.409554163757809 
 01/01  03:00:00,19.0,22.940637146532894,22.98548864813571,24.01063296261969,24.488759655484459,23.967744939094755,24.317960123141558,22.069564426121727,22.94884971985336 
 01/01  04:00:00,19.349999999999999,22.745363898553454,22.794204795662936,23.738221459657596,24.27405308987403,23.72793267912391,24.088379837232325,22.007956440373908,22.751259456885465 
 01/01  05:00:00,19.833333333333333,22.62838817845743,22.741902588458289,23.533481069999728,24.10973492490517,23.59140278812106,23.914359804605245,22.031933396989236,22.62315077369323 
 01/01  06:00:00,20.0,22.49865129801745,22.56424021963282,23.317777473922875,23.921744662141977,23.400278010024338,23.707807503241498,21.981561099163046,22.456496818388755 
 01/01  07:00:00,19.125,22.43934543921453,22.137754415765956,22.895016002667615,23.56913409773666,23.02224032456668,23.327574173193854,22.07099848141191,22.03873921019657 
 01/01  08:00:00,19.375,22.697278044615574,22.21063138499893,22.864029212996344,23.55541140056629,23.017670573473397,23.573084321964605,23.10694420698404,22.190074226932127 
 01/01  09:00:00,21.166666666666669,23.533048271028539,23.04719356867678,23.42681687461751,23.798879837283,23.333156518447117,24.448014870965698,24.8780504173855,23.065678850108467 
 01/01  10:00:00,23.28333333333333,24.456134411562308,24.198584409317808,24.26518078431904,24.484427066394983,24.298744121425128,25.56841004461857,26.56591152223987,24.224333508657386 
 01/01  11:00:00,25.25,25.620379903746934,25.293561174324556,25.194944644509687,25.22717698971267,25.30636508599751,26.730605161237578,27.831382043135748,25.365161318078664 
 01/01  12:00:00,27.75,26.577714961248736,26.312962890867217,26.09861543474081,25.89971209414124,26.234705268328328,27.846247652313527,28.941304989540428,26.23310096731841 
 01/01  13:00:00,29.7,27.351104949148007,27.237902825806363,27.045755532151074,26.65814981966332,27.16676898736654,28.677492377704387,29.95376670730593,27.188233120191716 
 01/01  14:00:00,30.666666666666669,27.864605289462788,27.979185816541777,27.855999286648826,27.35307407412932,28.053016297340265,29.410145652953174,30.45413194718996,28.168573158741535 
 01/01  15:00:00,31.0,28.567663614037398,28.833622285201188,29.01109688233963,27.94777418467507,28.7912479776959,30.75818440591684,30.644918651985834,29.061069418620737 
 01/01  16:00:00,29.13333333333334,28.904684646699974,29.406517279650303,29.62302303115671,28.581245681661899,29.361118149051575,30.821693020513707,30.42105013866681,30.007118431023874 
 01/01  17:00:00,27.916666666666669,28.568928172439447,29.670963858840996,29.90312572677031,28.995959164610487,29.658368222432264,30.79328570177704,29.53923826272442,30.252179208434794 
 01/01  18:00:00,29.75,29.257752231888607,30.620791499613078,30.48377315551809,29.4869205866564,30.49124728726652,31.37197152851188,29.40304041133558,30.974637812387117 
 01/01  19:00:00,28.78333333333333,29.091070013485206,30.257781306267679,30.400105289632035,29.41127313927051,30.33679108592896,31.136729068434176,28.53712315691345,30.426004598965155 
 01/01  20:00:00,25.916666666666669,27.570838283874197,28.169064033237686,29.426754568560726,28.586420531681385,28.88898701425732,30.026489265854754,27.048544707699184,28.90057353671583 
 01/01  21:00:00,23.833333333333333,26.463252412166339,26.758539638548027,28.45186463605025,27.707511870931289,27.7416166793836,29.028242653998889,25.843901907993624,27.57162535069304 
 01/01  22:00:00,22.825000000000004,25.776156484365165,25.928847775442156,27.727582725123545,27.055279133881205,26.917661145194683,28.334055012159074,25.015110404909309,26.622438857705889 
 01/01  23:00:00,22.291666666666669,24.787678236195764,24.92619532300289,26.60376201230127,26.688479112611807,26.299112288062223,27.053000561888877,24.468303117516088,25.894118807230816 
 01/01  24:00:00,21.416666666666669,24.130497752254784,24.249994987915554,25.910891221088645,26.18231653513079,25.590095829009113,26.33331045560784,23.846916235106318,25.106139994942529 
 01/02  01:00:00,21.0,24.02053776299712,24.096543313544648,25.397364022009869,25.721198058046356,25.2272938043282,25.781421571562903,23.365023102680863,24.49651183000337 
 01/02  02:00:00,21.0,23.70333810730952,23.700198269447527,24.99516376794485,25.39017356051014,24.93510117954177,25.39465449263032,23.10428619310223,24.097433769923155 
 01/02  03:00:00,21.0,23.27494609371359,23.283786609935704,24.605902431582384,25.063985357633475,24.47275060054852,25.01907359845227,22.863018994985806,23.731420693844389 
 01/02  04:00:00,20.416666666666669,22.91949595697704,23.200876960769987,24.14887058069581,24.657746656206525,24.0675519999254,24.535723662823079,22.565527663877785,23.263706231121878 
 01/02  05:00:00,20.0,22.686556505735657,22.75446944239292,23.71677174525674,24.268066900502775,23.71380165857222,24.08510401348605,22.228812728018754,22.82689708414706 
 01/02  06:00:00,20.0,22.496051573147498,22.39423944682755,23.433831732899369,24.016485495356567,23.436439854118473,23.817676667421695,22.07641838417096,22.567114539769766 
 01/02  07:00:00,20.175,22.598351489957009,22.336108852323194,23.27063062973083,23.94991392622343,23.327648505013415,23.868157499454005,22.694906056858419,22.52093895047757 
 01/02  08:00:00,20.708333333333333,23.239864960373088,22.69544464520381,23.34859604606837,24.036109566739218,23.505504373962255,24.367800243554897,24.26055494269841,22.791567346617965 
 01/02  09:00:00,22.166666666666669,24.230328118965685,23.496363112419905,23.895142900121845,24.212951449748066,23.950670549110609,25.368884476718408,26.273313672984118,23.600369330190874 
 01/02  10:00:00,22.475000000000006,24.74084183644841,23.999204286178786,24.412358222248284,24.518573680980294,24.37054063363747,26.058371049046387,27.21656209515942,24.18955304314223 
 01/02  11:00:00,22.041666666666669,25.03224773302145,24.358550150202594,24.85387784677503,24.767655325400957,24.657716024300059,26.42071622899015,27.154175635151888,24.501865986661046 
 01/02  12:00:00,23.75,25.906618956974826,25.414252611271605,25.790245862894598,25.535529377678356,25.584358843476623,27.24741633585977,27.78876792224997,25.393951913271605 
 01/02  13:00:00,25.75833333333334,26.874051246529417,26.725707980146678,26.860315611386274,26.477077843271844,26.620185438577754,28.17427637867192,28.736661937781375,26.491821324903243 
 01/02  14:00:00,26.708333333333333,27.603886419940524,27.57536815436734,27.65003279457433,27.22015480213415,27.523102618124857,28.906561121305967,29.348126297186967,27.558452021156019 
 01/02  15:00:00,25.833333333333333,27.80431645598627,27.760796120033079,28.405292660844819,27.65343786842432,27.848356666297709,29.624912013696926,29.201293983684697,28.13916366151587 
 01/02  16:00:00,24.825,27.08159565122212,27.295821459665097,28.528491248358255,27.79832579825899,27.703568717558715,29.604373063748175,28.27414981290742,28.178702113608599 
 01/02  17:00:00,24.875,27.026251467949455,27.634129081273846,28.774627024667209,28.02767228343779,27.81586665431168,29.762472684786528,27.795972685935284,28.43332843180141 
 01/02  18:00:00,23.25,26.285933295629776,26.82904134446825,28.296595834888654,27.628959381353658,27.312701581982397,29.157410620216014,26.615983469154913,27.73163817161712 
 01/02  19:00:00,21.358333333333336,24.93338373621931,25.337462983301383,27.484811868146449,26.799234916280285,26.239360479637609,28.366191032160406,24.93329982477888,26.398607409161469 
