Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.49017419108146,24.690888467652444,25.643780577101699,25.67377767050597,25.15389182540446,26.217783713613789,23.818266338658593,24.914447095071784 
 01/01  02:00:00,19.125,24.21218552957977,24.33196964941615,25.296602586998789,25.345278041160609,24.93432180835578,25.73246524237177,23.19529530204007,24.361150113780714 
 01/01  03:00:00,19.0,23.985654696859254,24.151435005237784,25.116685994947614,25.177792157301384,24.772736961339964,25.480280672539043,22.8567825054694,24.067351430286306 
 01/01  04:00:00,19.349999999999999,23.8773095773185,24.119195734060953,25.095977860155569,25.166792203185,24.79227359209248,25.443046509941039,22.799779009277417,24.014117599298684 
 01/01  05:00:00,19.833333333333333,23.878698430015289,24.206145533570113,25.09410530417972,25.17221463627663,24.861553393180789,25.43719989583198,22.853632069578354,24.00087713455918 
 01/01  06:00:00,20.0,23.826346372769455,24.155282141846518,25.036852078551744,25.12256869556528,24.83222706427341,25.372939612458994,22.82483762607461,23.916377246501253 
 01/01  07:00:00,19.125,23.73595723015215,23.792972105644833,24.732128751030659,24.896487448583686,24.59426201401809,25.1378318897353,22.915970080538768,23.548406773277106 
 01/01  08:00:00,19.375,24.04473301220493,23.864191058599585,24.741281345143468,24.950766678311337,24.656702138184405,25.48466203436441,24.016156554801645,23.707292640565119 
 01/01  09:00:00,21.166666666666669,24.90919721015212,24.64717143018459,25.213627332039466,25.206378286385957,24.934801116343423,26.293633302766766,25.864958684339596,24.540768882884878 
 01/01  10:00:00,23.28333333333333,25.755776047646806,25.660714176822478,25.7744569193884,25.75202050739848,25.692657401314347,27.192640361948553,27.61715491031411,25.578466740672924 
 01/01  11:00:00,25.25,26.68167237709631,26.528714061910209,26.338694821431589,26.32248119159142,26.322354348486159,27.98841267930887,28.9737711071274,26.558542361224544 
 01/01  12:00:00,27.75,27.758665642360474,27.397796540335418,26.768952950560814,26.763954929026597,26.967582602031006,28.740080865655398,30.07657788733267,27.47982593697024 
 01/01  13:00:00,29.7,28.511274124314168,27.97834864756805,26.996296798946334,27.020240851425485,27.316460464934619,29.269885359260998,31.092925489885827,28.16666106820286 
 01/01  14:00:00,30.666666666666669,28.85462399424387,28.273541153869304,27.15876709068419,27.206435185264298,27.555515583228595,29.573537087152393,31.637453508549766,28.795021415248358 
 01/01  15:00:00,31.0,29.28020091997236,28.705508405671464,27.95550172634214,27.38686308958607,27.748176206146199,30.73491904322158,31.75783545709869,29.3326872304298 
 01/01  16:00:00,29.13333333333334,29.427852021901619,29.054277498640194,28.41550518391462,27.757537801311714,27.957767483781795,30.613280607439063,31.306540097524047,30.1483057706703 
 01/01  17:00:00,27.916666666666669,29.10891900145923,29.306491917683919,28.56345574260663,27.962673441076789,27.962989646357689,30.35975331890494,30.386423235161759,30.10639312290562 
 01/01  18:00:00,29.75,29.668819849518675,30.1395232597026,28.91521506513632,28.055838377749287,28.018799388855457,30.870153054146827,30.276506678208169,30.538389885279775 
 01/01  19:00:00,28.78333333333333,29.37058864027661,29.681624913200215,28.862026183799203,27.82848555481682,27.815735796932186,30.61461391632707,29.46224758700328,29.736477350897635 
 01/01  20:00:00,25.916666666666669,27.7769347755941,27.711600712868316,28.133970203662796,27.30337601265737,27.00497239963458,29.564623608602394,27.68000806070034,28.21439570199142 
 01/01  21:00:00,23.833333333333333,26.703019694034919,26.604535508701209,27.487521006914269,26.690981751804129,26.280098250254566,28.795962558931867,26.356913005666944,27.13781037032591 
 01/01  22:00:00,22.825000000000004,26.185647796896079,26.09021906038069,27.171352784623566,26.349442406934189,25.85472596354003,28.378367260177087,25.55333589834946,26.508194567276886 
 01/01  23:00:00,22.291666666666669,25.37578436202052,25.231205614028246,26.393812694700189,26.32730203954479,25.708548683694926,27.333431903519267,25.06131920110386,26.094307676370496 
 01/01  24:00:00,21.416666666666669,24.750480440403139,24.91091128185188,26.06681103854973,26.12540193074852,25.402580950662267,26.858385523369738,24.532692474030843,25.611220914997558 
 01/02  01:00:00,21.0,24.695916322399346,25.005456496659105,25.90684650634573,25.939725313024238,25.392168944223717,26.549497655968325,24.12429546845536,25.264757273817435 
 01/02  02:00:00,21.0,24.561634598628076,24.860705839471085,25.809643520452214,25.85154820598962,25.427232070139028,26.38585940988502,23.90173218871735,25.072370426931358 
