Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.523326530202778,24.75953666588663,25.727072036107129,25.756437531990146,25.469264945038419,26.144371038644864,23.970372209347983,25.03785743418577 
 01/01  02:00:00,19.125,24.24126669818305,24.342245420575656,25.292007250797427,25.38292341044358,25.219938096504678,25.607301447921647,23.345148401598107,24.420114675743816 
 01/01  03:00:00,19.0,24.006709170491246,24.109644059378597,25.029467796642306,25.17418387183318,25.02706140180337,25.308277074395133,22.991514878180437,24.063252235689907 
 01/01  04:00:00,19.349999999999999,23.889536972844654,24.031497394021046,24.932985483137619,25.12645257702849,25.01085863496458,25.228890455183007,22.8980791329568,23.950566641149324 
 01/01  05:00:00,19.833333333333333,23.8819449541845,24.07978792099181,24.864529450089824,25.100544982988013,25.047108489999,25.186972070541164,22.914199913804454,23.884490775773029 
 01/01  06:00:00,20.0,23.822985279644059,24.000003922272247,24.75201783141551,25.02546324827659,24.9893552967816,25.094826052378918,22.874373168984396,23.755578369381543 
 01/01  07:00:00,19.125,23.72122363630977,23.618156644224127,24.40387861569064,24.77939553915809,24.732146048976039,24.839866224348289,22.923285907960879,23.350199089583286 
 01/01  08:00:00,19.375,24.00080217762429,23.66939133319043,24.38040463388432,24.8195406637669,24.77156977261458,25.181454246569147,23.923077127727895,23.477123576898227 
 01/01  09:00:00,21.166666666666669,24.863715815047539,24.444407033393718,24.83520799385509,25.063842014887656,25.037025305277969,26.00090294752437,25.64134826609057,24.2719613390952 
 01/01  10:00:00,23.28333333333333,25.71982858810797,25.462721201143748,25.40193329730285,25.611458355082104,25.796198252114974,26.940593733346107,27.303372289918504,25.286494670601198 
