Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.533341307183937,24.7641104176884,25.72712478338732,25.756513245835209,25.46941419880322,26.146533959573586,23.849193242828176,25.03976104267096 
 01/01  02:00:00,19.125,24.249959788292605,24.346503273120324,25.29205756528461,25.38299603467127,25.220083342389697,25.60948631894807,23.207288673197927,24.422018670759618 
 01/01  03:00:00,19.0,24.013926423042674,24.113441184176577,25.02951579100988,25.174253426423055,25.02719730507847,25.310473085170938,22.852695540104024,24.06514507836532 
 01/01  04:00:00,19.349999999999999,23.895341965719735,24.034796123759127,24.93303137215049,25.126519234042886,25.010987728131654,25.231089931118804,22.780522172767659,23.95243809644227 
 01/01  05:00:00,19.833333333333333,23.886398816753315,24.08262111853686,24.864573396012238,25.100608931911194,25.047231511771483,25.189166757106098,22.81344480783979,23.886331353173586 
 01/01  06:00:00,20.0,23.82615831120437,24.002399067884914,24.752059978347178,25.02552560284241,24.98947270258219,25.097005104652426,22.766983188282379,23.757373496969835 
 01/01  07:00:00,19.125,23.72326799219476,23.62016032386688,24.403918933489014,24.77945455740083,24.73225643828074,24.842008327791196,22.865411812992297,23.351921731274474 
 01/01  08:00:00,19.375,24.001950576781309,23.671041549328139,24.380443381867634,24.81959732380113,24.77167465283469,25.18354812257871,23.950212656793707,23.478768235118776 
 01/01  09:00:00,21.166666666666669,24.864337272458017,24.44584078927343,24.835245476032076,25.06389794890246,25.037127162321707,26.00294794784149,25.719538426396669,24.273526826620715 
 01/01  10:00:00,23.28333333333333,25.720498557818379,25.464154978162346,25.401969433871419,25.611512939579418,25.79629716758748,26.942597440751695,27.396642061526568,25.28798823043127 
 01/01  11:00:00,25.25,26.647211114687278,26.355686993714785,26.00853008024005,26.20527611913215,26.439337901773013,27.80584752841112,28.726642594581553,26.267094132702469 
 01/01  12:00:00,27.75,27.682243675497629,27.218276414717584,26.426351940922346,26.643957131586534,27.132001078153196,28.62847092551641,29.834457632439599,27.09499761053796 
 01/01  13:00:00,29.7,28.41526156767674,27.846546412720867,26.769166876718829,26.95270385320339,27.54621852259099,29.229078612662027,30.855213824412514,27.810080644075727 
 01/01  14:00:00,30.666666666666669,28.771877684817644,28.21454537615811,27.082402913678704,27.200547108349285,27.84490201651001,29.631059098228247,31.399394964168484,28.51399647865614 
 01/01  15:00:00,31.0,29.21953346553109,28.73116971234772,28.023030756988267,27.451301363160483,28.10439871832676,30.84451601049116,31.541321948776966,29.142018555862867 
 01/01  16:00:00,29.13333333333334,29.378053071555088,29.14273857744048,28.60245002951939,27.892519256861495,28.375020666490469,30.757436230442165,31.14461828479756,30.053133169667267 
 01/01  17:00:00,27.916666666666669,29.0719417826992,29.44681465584108,28.82555039589597,28.14637355141635,28.334415381586735,30.54218096166618,30.28717182593715,30.101875116416733 
 01/01  18:00:00,29.75,29.644872292241457,30.363032656222555,29.293336937314249,28.330430344607398,28.55500562169399,31.05933481764072,30.22807518758678,30.651513577089376 
 01/01  19:00:00,28.78333333333333,29.351734686251729,29.947782210035869,29.25674464970712,28.158047693443647,28.377756295684298,30.791629346048457,29.425734097283255,29.962918962529956 
 01/01  20:00:00,25.916666666666669,27.802187727167114,28.025568379124125,28.510606539585507,27.585869096217065,27.42123798761133,29.732293601110979,27.703472832084004,28.519016225417233 
