Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.51840865732444,24.75726277049961,25.727020204115534,25.75637666044498,25.469151965260499,26.143308137324117,24.183081219971588,25.036899075154925 
 01/01  02:00:00,19.125,24.237152851250856,24.340177232237666,25.29195775929905,25.382864811633316,25.219833134036948,25.60622738614153,23.578158682735564,24.419156491747569 
 01/01  03:00:00,19.0,24.003539611778398,24.10787437523417,25.029420551258398,25.174127583801654,25.026963504879693,25.307197618807739,23.21653784557583,24.062300604197746 
 01/01  04:00:00,19.349999999999999,23.887340987899937,24.030061388145687,24.932940287048586,25.126398522304514,25.010765091262909,25.227810238027094,23.09980844468235,23.94962771337202 
 01/01  05:00:00,19.833333333333333,23.880721548122229,24.07867798466209,24.864486157579149,25.100493019976665,25.047018919417487,25.185896474825986,23.096409647271498,23.88357092193218 
 01/01  06:00:00,20.0,23.822688014913184,23.999213318524835,24.751976313589155,25.025413235383267,24.989269426969846,25.093762171008,23.01992380481455,23.754687115230629 
 01/01  07:00:00,19.125,23.721696937635078,23.61765329443541,24.40383891639607,24.779347514157356,24.73206510685502,24.838826462851065,23.05607190083874,23.349352474013285 
 01/01  08:00:00,19.375,23.98173437155232,23.659020326041924,24.38177798936944,24.821880711870237,24.770575345254703,25.18474935803609,23.966280669406485,23.48103594745955 
 01/01  09:00:00,21.166666666666669,24.86313140685986,24.443660696218275,24.834116240410326,25.062831159493557,25.035994051426539,25.999633872630395,25.637868333875294,24.270775131902665 
 01/01  10:00:00,23.28333333333333,25.71959766343754,25.461786749571787,25.401829641111264,25.611376443766234,25.795936874148699,26.939702001534646,27.26165269504898,25.285817710980014 
 01/01  11:00:00,25.25,26.645137335128596,26.353052820735355,26.00840059180214,26.20514506930859,26.439057874223967,27.80299793867448,28.51509945891412,26.264938117121614 
 01/01  12:00:00,27.75,27.663596860806888,27.199294370326699,26.42614586987966,26.643397357460804,27.126165282645876,28.632352305269437,29.53646923073525,27.091335070839575 
 01/01  13:00:00,29.7,28.392889003460579,27.829001056259107,26.769035169398085,26.952503261414745,27.543384792172007,29.22595420473453,30.52063451851598,27.806985116003628 
 01/01  14:00:00,30.666666666666669,28.75425437782893,28.2034405726429,27.082168869584096,27.200276538027699,27.844066612331117,29.627357013861276,31.060577243222697,28.510871788671666 
 01/01  15:00:00,31.0,29.19958804603362,28.719946166232913,28.02281872456472,27.45105588201456,28.103722199219363,30.841435750524714,31.21998602542639,29.13892300601651 
 01/01  16:00:00,29.13333333333334,29.358907153072705,29.132882077013009,28.602268731476845,27.892290379699064,28.374469201181158,30.754773080367355,30.996645241476583,30.050583335054069 
 01/01  17:00:00,27.916666666666669,29.05411161997121,29.438264721894958,28.82540394098019,28.146186445783675,28.334004974994867,30.539867057010313,30.26912393425253,30.099631049033083 
 01/01  18:00:00,29.75,29.622162867723917,30.351977742940269,29.29318282850763,28.330221397874614,28.554513437770806,31.056701643030455,30.118924905676619,30.64904906589457 
 01/01  19:00:00,28.78333333333333,29.329099293585445,29.937033763851518,29.25660574212991,28.157846529385798,28.377296116072555,30.789080638771975,29.38402402111849,29.960381624202744 
 01/01  20:00:00,25.916666666666669,27.780901480590818,28.017618828492087,28.51050034500641,27.58571420482549,27.420920127902194,29.72973763255477,27.830805834721145,28.51647493679945 
 01/01  21:00:00,23.833333333333333,26.725683884084576,26.90710952388559,27.85991807780591,26.95821890064487,26.693848007079806,28.931532103443784,26.633500942422498,27.461705612179658 
 01/01  22:00:00,22.825000000000004,26.22109867110356,26.353160652482634,27.49074001427589,26.579448953153958,26.261902078637815,28.466056081046316,25.862151181197363,26.81103548436862 
 01/01  23:00:00,22.291666666666669,25.41308815469615,25.416382555193093,26.64704890540469,26.50225427359491,26.07292194514544,27.368968621160119,25.372931132827799,26.3454537881743 
 01/01  24:00:00,21.416666666666669,24.78162368729707,25.037774471704038,26.23208511478653,26.24991509570393,25.73429399629475,26.83485450538355,24.853390751596164,25.798150229633195 
 01/02  01:00:00,21.0,24.72200647763007,25.071380995193434,25.9812993223298,26.016603575155803,25.701919573279637,26.46950643078749,24.43667801904603,25.383748350701678 
 01/02  02:00:00,21.0,24.58123807338663,24.86663603856972,25.797338182941233,25.883968253692463,25.707077742726683,26.25474179561265,24.18072923980158,25.12403047313703 
 01/02  03:00:00,21.0,24.290747487012795,24.623912983447963,25.59780924681449,25.734371766101746,25.485195571413717,26.04037090577782,23.937171517883568,24.86418791378222 
 01/02  04:00:00,20.416666666666669,23.97600668901252,24.547428810591425,25.310960604493734,25.489537295170864,25.291780450811989,25.703756257966643,23.649299832576149,24.473185827865906 
 01/02  05:00:00,20.0,23.822350035012378,24.188181783079427,25.010526336935368,25.23663698052351,25.129250723040188,25.366540126080804,23.326054079951395,24.07998314912996 
 01/02  06:00:00,20.0,23.67675285721101,23.91299594363393,24.8418197056266,25.10324814145405,25.0002199181676,25.212646440211768,23.137848516734448,23.85722770984089 
 01/02  07:00:00,20.175,23.784965441447424,23.927413814409666,24.774698490460464,25.139737089550854,25.02689062581403,25.441769849819637,23.616374304325196,23.845263036035406 
 01/02  08:00:00,20.708333333333333,24.515782425985205,24.248963253701164,24.85116512243526,25.274172990926716,25.265981088405625,26.080828495229313,25.057655619584904,24.084632730609099 
 01/02  09:00:00,22.166666666666669,25.52578776872311,24.967183237198115,25.213889915103179,25.426009996190659,25.64682993456205,27.001354572507343,27.00018168230992,24.74546598447766 
 01/02  10:00:00,22.475000000000006,25.938739156784967,25.310201634424574,25.352057814622915,25.54760637903105,25.77540556998184,27.37515047718077,28.016738358747195,25.09921720808315 
 01/02  11:00:00,22.041666666666669,26.017634572329304,25.34795978981656,25.339564333585547,25.532479369744818,25.686467455579494,27.320997542309529,27.98775250171873,25.204303339052886 
 01/02  12:00:00,23.75,26.699369923040249,26.058056813858,25.82921354693114,26.003895577850107,26.198845852964856,27.736900142467836,28.517516537446654,25.932244508448379 
 01/02  13:00:00,25.75833333333334,27.59086836617313,27.040623655770646,26.473358956132946,26.610631557285108,26.808864625110777,28.36130701153787,29.443435178480759,26.918515654193624 
