Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.544858286438939,24.779841578538226,25.726884633869305,25.75113679837611,25.29670574380997,26.147960514017354,23.836659900700796,25.055179468473484 
 01/01  02:00:00,19.125,24.20424278214142,24.35311771590329,25.291814603341906,25.377671826228775,24.982549069885594,25.61095282656359,23.1525832843223,24.379726013061164 
 01/01  03:00:00,19.0,23.916372951458304,24.110810589103719,25.02927101280116,25.16900550451469,24.731667540135985,25.31198182593892,22.75799893703309,23.972556093898729 
 01/01  04:00:00,19.349999999999999,23.750601107551878,24.02377406551032,24.932785091176027,25.121355011238479,24.670581152509958,25.23264186507725,22.65010821185057,23.81592595562583 
 01/01  05:00:00,19.833333333333333,23.701219156634765,24.06399481741831,24.864325413394288,25.09552060132026,24.67087469580439,25.190758536314289,22.659678388306465,23.71152462809029 
 01/01  06:00:00,20.0,23.607338832082445,23.975726329262856,24.75181178057227,25.020505924136569,24.585759868448478,25.098628565512798,22.594855379477719,23.55096882750249 
 01/01  07:00:00,19.125,23.491036778465135,23.585554758196996,24.40366964126713,24.77450345578588,24.304667713184519,24.843644308323346,22.66307098967737,23.12537429756723 
 01/01  08:00:00,19.375,23.7833488187807,23.6381566700065,24.380432801686685,24.81417543945064,24.336167104258267,25.182039719376346,23.754236024390058,23.24306603621171 
 01/01  09:00:00,21.166666666666669,24.65108286016408,24.411563691718596,24.834093417737838,25.058179730817697,24.59249593240077,26.00420761580421,25.613460238117836,24.06112614776679 
 01/01  10:00:00,23.28333333333333,25.527600544292978,25.430565442235165,25.401719133509613,25.606442618219519,25.349998119885418,26.94412594715025,27.392907268722174,25.122532061806895 
 01/01  11:00:00,25.25,26.526754283488314,26.325295716406047,26.003401219542594,26.19562167219158,26.023465066986188,27.804366615495906,28.786910679815646,26.16291928331998 
 01/01  12:00:00,27.75,27.644267760166838,27.210309337000909,26.430341389215156,26.642674257133888,26.663161829612606,28.629937486038487,29.94307293298272,27.074750579673709 
 01/01  13:00:00,29.7,28.448484665776005,27.838181778854179,26.769026625266933,26.94650755581532,27.073157825328328,29.23100934118921,31.0364873156562,27.88119748219617 
 01/01  14:00:00,30.666666666666669,28.889903219337467,28.22860881914164,27.082169178265678,27.19403452294019,27.434178815696929,29.633031864831066,31.669866259380727,28.686786504851587 
 01/01  15:00:00,31.0,29.42194221639751,28.76455285028115,28.022760291935144,27.44454132270748,27.764928513381947,30.846094743939287,31.8747518522199,29.421530416125849 
 01/01  16:00:00,29.13333333333334,29.632263932628694,29.187064839174949,28.602188867106109,27.885545917984545,28.11625933365639,30.758754471255885,31.47830923499633,30.37223817793217 
 01/01  17:00:00,27.916666666666669,29.354308404443445,29.503993103721795,28.825316089608394,28.14023055429395,28.197010334901653,30.54331056513092,30.610784686267924,30.428452719224209 
 01/01  18:00:00,29.75,29.979622459754027,30.43430398312889,29.293067071649646,28.32314117560846,28.460765800129399,31.060538467148633,30.56588005955005,31.020176639117979 
 01/01  19:00:00,28.78333333333333,29.677491711995104,30.010170176118704,29.25648199035241,28.15073972323282,28.36256759395994,30.792745841551363,29.76599053071695,30.30119269642178 
 01/01  20:00:00,25.916666666666669,28.089257473379303,28.061381184732537,28.51038454713616,27.580076823608566,27.458712923749677,29.7333730033572,27.974001924968055,28.809288930423248 
