Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.541927150453675,24.778216177515167,25.71202102049008,25.7366092012128,25.285930243959439,26.233823642616917,23.824066029007708,25.055250601065397 
 01/01  02:00:00,19.125,24.201033866954444,24.351586665371174,25.276255375726945,25.362429277071486,24.97646227619165,25.755031500696039,23.169716868557236,24.37976590196814 
 01/01  03:00:00,19.0,23.913159995413055,24.109510126197539,25.01396055264419,25.153992373876937,24.727765705811149,25.505857285740736,22.802874625351924,23.9725596329295 
 01/01  04:00:00,19.349999999999999,23.74757394014645,24.022814298297459,24.918562161524848,25.107419947235298,24.670000898087605,25.469908785542846,22.7206145511588,23.81589024948052 
 01/01  05:00:00,19.833333333333333,23.698564094491844,24.063488492902669,24.85192987792799,25.083379240898556,24.6779617478977,25.46500639085544,22.75297975329065,23.711449627508917 
 01/01  06:00:00,20.0,23.60522234160975,23.97569675403214,24.741858193403109,25.01074803458016,24.599424359725746,25.401757088378664,22.707159005789135,23.550857394332863 
 01/01  07:00:00,19.125,23.489672779339434,23.58599757541747,24.39666353353026,24.76761122415756,24.314092562204196,25.16092528982368,22.787666498348629,23.12523356211274 
 01/01  08:00:00,19.375,23.782818415911309,23.639160773025855,24.37667961808883,24.810448583880178,24.354014540304719,25.49173560217872,23.883851448988,23.242903310480615 
 01/01  09:00:00,21.166666666666669,24.651373400877988,24.413102521158835,24.833883607332124,25.05787012650325,24.61478555343051,26.28467345031821,25.736289808959016,24.060949747689553 
 01/01  10:00:00,23.28333333333333,25.528608254324806,25.432560943554795,25.4052836234932,25.60986249391014,25.373342730099297,27.172098132953214,27.502307319225979,25.122350797676196 
 01/01  11:00:00,25.25,26.532074785279066,26.32819827303967,26.015452812635563,26.207005395687735,26.042808711669414,27.96624737203622,28.88460329945211,26.1684030407357 
 01/01  12:00:00,27.75,27.63663230236521,27.197399719991485,26.437276447633896,26.64860280245991,26.66220306835798,28.716504706956994,30.001427327409357,27.070184448362139 
 01/01  13:00:00,29.7,28.451038353100406,27.840083921968274,26.78146253891052,26.958926911990834,27.086393211263319,29.220987773694448,31.05691984684754,27.88096345938578 
 01/01  14:00:00,30.666666666666669,28.89356067675158,28.23114374122004,27.097046168482849,27.209579348456378,27.437912439966327,29.513575185679036,31.647887465078978,28.686559907898127 
 01/01  15:00:00,31.0,29.425799661128463,28.766834010183,28.04073465093562,27.46136600637423,27.758974202633586,30.673927590736658,31.815033249656357,29.4213486853339 
 01/01  16:00:00,29.13333333333334,29.6353585133914,29.188555134658747,28.618229260916576,27.902565226593379,28.09757469842442,30.557595395502135,31.394913313541467,30.37217686074821 
 01/01  17:00:00,27.916666666666669,29.35659180218786,29.504724512586959,28.837456265739957,28.153282616848128,28.18138484610522,30.321073965961486,30.5097870026064,30.42840968015082 
 01/01  18:00:00,29.75,29.98174140722715,30.434686809011809,29.303679506465057,28.335648376958774,28.420197186002189,30.831636777385659,30.438515524216187,31.020181217368273 
 01/01  19:00:00,28.78333333333333,29.678876359670583,30.010075808472455,29.263290597937457,28.159468816235174,28.3218867141502,30.585795298645157,29.627940760010266,30.301242137538045 
 01/01  20:00:00,25.916666666666669,28.089796095842137,28.060837342141669,28.51295571924656,27.583401883808706,27.432534896429748,29.546037196357124,27.839655774516076,28.80937180440264 
 01/01  21:00:00,23.833333333333333,26.9913370065204,26.94913550305415,27.858664642580164,26.951660534311036,26.714163035488956,28.78084407347711,26.497922403545727,27.713798290758367 
 01/01  22:00:00,22.825000000000004,26.437827391211586,26.395047873499505,27.485942659483844,26.569094028948688,26.25198627780993,28.36687825086233,25.66528174473281,27.011293436569195 
 01/01  23:00:00,22.291666666666669,25.56001988384953,25.447681335242675,26.638822032302163,26.48909702352111,26.011813654945884,27.33821225597696,25.137733568781145,26.48742210831348 
 01/01  24:00:00,21.416666666666669,24.86108680760735,25.06262812454599,26.22122787078344,26.23424524605342,25.614345397066815,26.86838668796067,24.572472579917798,25.878063986789113 
 01/02  01:00:00,21.0,24.745659674273143,25.091630343090065,25.968635426999155,25.999125504046928,25.51815477392607,26.563211696174649,24.12942528230958,25.403887755888474 
 01/02  02:00:00,21.0,24.548929138879058,24.8794434325246,25.783886279951465,25.865773940450084,25.466104210636,26.40191570163647,23.87558772586627,25.090132434685299 
 01/02  03:00:00,21.0,24.207688586724975,24.630377012666988,25.584497444481273,25.716378015096085,25.20497181149725,26.23452206831581,23.637414384706508,24.782280844166633 
 01/02  04:00:00,20.416666666666669,23.840021943233386,24.540400078950034,25.298609803014548,25.472530986821288,24.974644959233616,25.939214362884369,23.33768160255841,24.34923438999786 
 01/02  05:00:00,20.0,23.646776984162405,24.173345472650426,24.999858014346846,25.221319775342264,24.778677835321845,25.63778319431557,23.000126342055866,23.918748099433988 
 01/02  06:00:00,20.0,23.482312253676218,23.897136715317218,24.833414436937806,25.09020411173721,24.630461141177518,25.508731884872878,22.83383856403862,23.666385570944909 
 01/02  07:00:00,20.175,23.574192196774296,23.90817009439265,24.769006790938297,25.129433711095943,24.645650576161697,25.74175227266294,23.46520494826125,23.636038162618367 
 01/02  08:00:00,20.708333333333333,24.30900851119624,24.22586730737187,24.848317410006918,25.266589801611749,24.874034295053276,26.359393866254135,25.157109820944318,23.871339586238198 
 01/02  09:00:00,22.166666666666669,25.35636932713331,24.9440875011957,25.214290444413668,25.423757707983954,25.234869302525018,27.234461755218889,27.303724450124805,24.557599600481738 
 01/02  10:00:00,22.475000000000006,25.80721325109147,25.288878050766859,25.356052825207795,25.546813964754809,25.37346445551887,27.54006917107046,28.340410026214874,24.9820586304787 
 01/02  11:00:00,22.041666666666669,25.953900155828078,25.33477661818471,25.346580645465413,25.534689904702746,25.294617878094454,27.401372290582989,28.250658292893858,25.17364393358253 
 01/02  12:00:00,23.75,26.716110333084619,26.058014355913813,25.838867199950415,26.00865557086809,25.822658779899485,27.73139875657679,28.707989881172357,25.98320703073618 
 01/02  13:00:00,25.75833333333334,27.6824549506626,27.053811426585189,26.484861508389629,26.61693038123792,26.46008683079566,28.275600111571479,29.603296664192667,27.048287338439264 
 01/02  14:00:00,26.708333333333333,28.45632704832582,27.64146258710046,26.866298705750166,26.97968184090887,26.951922561043604,28.73847293814104,30.318872061427795,28.12226360748166 
 01/02  15:00:00,25.833333333333333,28.626005073160476,27.654006783782106,27.44317005815577,27.068527846545789,26.940210918540193,29.26618193339185,30.248255451030095,28.644183667545535 
 01/02  16:00:00,24.825,27.84934377984933,27.01671692427371,27.35904092946251,26.95098476465779,26.56198512899041,29.0504936410119,29.36043666827355,28.47620397435453 
 01/02  17:00:00,24.875,27.64469426132267,27.444715520163958,27.649307370227004,27.115640594794816,26.591844628233856,29.16656630583076,28.758691961156449,28.760657719122464 
 01/02  18:00:00,23.25,26.93337655518086,26.761485809459285,27.22730418764871,26.6881236142069,25.99133936247158,28.562200375766989,27.572443844182805,27.966221629849739 
 01/02  19:00:00,21.358333333333336,25.58868081801729,25.251851900670194,26.627204395596349,25.936694612398055,25.079814595300616,27.90079853210929,25.821231759925714,26.580200205012063 
 01/02  20:00:00,20.375,24.744158004186603,24.54200607373845,26.266460168587434,25.52408638879588,24.572126528604888,27.408602790735008,24.619551493405365,25.67247365016816 
 01/02  21:00:00,20.0,24.416321879062524,24.423341973413078,26.09980996208634,25.322986123544508,24.407845028370074,27.17744183849906,23.961337511773637,25.12242810217275 
 01/02  22:00:00,19.416666666666669,24.07304019523038,24.126766741001508,25.815633584480464,25.035832628925595,24.12477104443612,26.88417658621667,23.44091114321182,24.540653056845846 
 01/02  23:00:00,19.0,23.201612540319137,23.368293702685987,24.998243607215966,25.013482558879319,23.87922384772698,25.853978255766248,22.980604552030277,24.04478637970611 
 01/02  24:00:00,18.416666666666669,22.81942270221799,23.20475120409313,24.60040341589408,24.7510372091337,23.742716740091294,25.408197745513907,22.501472308841647,23.47220037178756 
