Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.54065598016531,24.76720259306764,25.72687432905363,25.75112371319636,25.29669783079902,26.147787561577457,23.841725441185007,25.040794909860709 
 01/01  02:00:00,19.125,24.256831803240194,24.349549333687379,25.291804729117918,25.377659355734826,24.982541519472887,25.61075683162716,23.194287236394133,24.423061685570059 
 01/01  03:00:00,19.0,24.020241013698599,24.11632349854189,25.029261555831295,25.16899363223421,24.731660450104966,25.311758746459149,22.83081561085,24.066197173056567 
 01/01  04:00:00,19.349999999999999,23.901124892807748,24.037498787640844,24.932776017415518,25.12134369757278,24.67057431838551,25.232389822380907,22.74914804457386,23.95349848947117 
 01/01  05:00:00,19.833333333333333,23.89165273284937,24.08512711867621,24.864316699041223,25.09550980657056,24.670868088314735,25.190478658378919,22.78015599926017,23.887398241544024 
 01/01  06:00:00,20.0,23.830813156355079,24.004725269718127,24.751803404625567,25.02049560804117,24.58575349470507,25.09832464389193,22.73275565775379,23.758441225651244 
 01/01  07:00:00,19.125,23.727240034191114,23.62230128240246,24.403661617966873,24.774493616629817,24.304661717815738,24.843323994396586,22.806888555025926,23.35297594156385 
 01/01  08:00:00,19.375,24.01812171770686,23.676233462051287,24.380425083064016,24.814166032275993,24.336161301237536,25.18171098486528,23.890945985711967,23.476218151013357 
 01/01  09:00:00,21.166666666666669,24.869409536738208,24.448874475813129,24.834085678298114,25.05817041669181,24.59249026052537,26.003877690934148,25.73322613010714,24.273974342832628 
 01/01  10:00:00,23.28333333333333,25.723808286173413,25.46609120728341,25.401711904417636,25.606433639381906,25.349992559036065,26.943801183726096,27.49051706655672,25.28888214301773 
 01/01  11:00:00,25.25,26.64620464360112,26.35696733316235,26.003393852164867,26.195612719825318,26.023459741205526,27.80405411718924,28.86213780304358,26.262717690950326 
 01/01  12:00:00,27.75,27.69286827823287,27.23439724993672,26.430332881686497,26.642663992078515,26.663155061300804,28.629632642854806,29.98812478495684,27.100087601132644 
 01/01  13:00:00,29.7,28.41943378989214,27.85007709896478,26.769016858485008,26.946478864626145,27.073149739481609,29.230672355289216,31.03626644826168,27.811569435031264 
 01/01  14:00:00,30.666666666666669,28.77617607608823,28.217777727175095,27.08215859677991,27.193989351270444,27.434169896854596,29.632723211689905,31.619073048501247,28.515514717950823 
 01/01  15:00:00,31.0,29.224416591752278,28.734491780745914,28.02275093236642,27.444513625880416,27.764920656791689,30.845882205856169,31.778162749529135,29.143532787121747 
 01/01  16:00:00,29.13333333333334,29.38281388482923,29.145658144007159,28.60218014057759,27.885519913515727,28.116251969769448,30.758611498575676,31.35586305150186,30.054336123377227 
 01/01  17:00:00,27.916666666666669,29.076670991249896,29.449486675310806,28.82530873233695,28.14020668721997,28.197004899093984,30.543214950247543,30.464844461410736,30.102911481971718 
 01/01  18:00:00,29.75,29.65126652978333,30.36643422463673,29.293059445078968,28.323120162131386,28.46075924406337,31.060478945019537,30.386987198958239,30.652603005109083 
 01/01  19:00:00,28.78333333333333,29.35861811392702,29.951247232077646,29.256475105600889,28.150721124099026,28.362561356200705,30.7927134221561,29.57795841795047,29.963991463960715 
 01/01  20:00:00,25.916666666666669,27.80915516302146,28.02834054658096,28.51037925219943,27.580063093996015,27.458708577071908,29.733358720309729,27.80481304611826,28.52004441570268 
 01/01  21:00:00,23.833333333333333,26.753766529100849,26.917951612391716,27.859782254184183,26.95234705880988,26.740385939214137,28.935427531301966,26.475939689473738,27.465336553717778 
 01/01  22:00:00,22.825000000000004,26.248658888757718,26.364217977976087,27.490590728887029,26.57355009476323,26.277516593873814,28.46995323861778,25.65549742846656,26.81474051096062 
 01/01  23:00:00,22.291666666666669,25.438436521417534,25.425998472655026,26.646882455645764,26.49656938983667,26.03153794810288,27.373227433419318,25.137514011150313,26.349229399083684 
 01/01  24:00:00,21.416666666666669,24.804534470950207,25.046977409323387,26.231908343441604,26.244247546319085,25.628222822296427,26.83921311480667,24.581017167502567,25.801989256385544 
 01/02  01:00:00,21.0,24.743924995112793,25.08073723120441,25.981113606791387,26.01092993825854,25.526673962067148,26.47394826597633,24.145034818753179,25.387642347999404 
 01/02  02:00:00,21.0,24.600506189030275,24.875675759600055,25.797145961258754,25.878363284425974,25.468543237299785,26.259249671541629,23.895051157635753,25.1279521575714 
 01/02  03:00:00,21.0,24.306952702169814,24.632004303877865,25.597611695882184,25.728848184263414,25.20041301864067,26.04492381047749,23.65891374016881,24.86811056731217 
 01/02  04:00:00,20.416666666666669,23.99010111406876,24.555099731491194,25.310758643681429,25.484090795903254,24.964681376695876,25.708324462768617,23.36012645321817,24.477073447397826 
 01/02  05:00:00,20.0,23.834073341041138,24.19490690205626,25.010320549303136,25.231266827829406,24.763305502833274,25.37110191897405,23.023666330427884,24.08380915268826 
 01/02  06:00:00,20.0,23.685519081680885,23.918619459500588,24.841611064950759,25.097960512337136,24.608562951757795,25.217179457713486,22.856723536580245,23.86096851462418 
 01/02  07:00:00,20.175,23.79144229060084,23.93225774828802,24.774487266994229,25.13454151310009,24.61809329218089,25.446239783492087,23.478258900698234,23.848892699185485 
 01/02  08:00:00,20.708333333333333,24.52194602014697,24.255496346370867,24.850783070423139,25.26878641203535,24.849025022254435,26.08419862377684,25.15520649985602,24.08736971624656 
 01/02  09:00:00,22.166666666666669,25.542345803013374,24.974934006604433,25.21345824022355,25.422777624836614,25.21138295826229,27.003677522489615,27.293610294832303,24.746463168230247 
 01/02  10:00:00,22.475000000000006,25.944175280645326,25.31463095045069,25.35185793976166,25.542501521559218,25.35066536865273,27.379255606218704,28.33190297778161,25.10230275230568 
 01/02  11:00:00,22.041666666666669,26.025178248147893,25.352853005527437,25.33935070907177,25.527320887214189,25.27833053747484,27.325045663383347,28.256016558905217,25.207292637665164 
 01/02  12:00:00,23.75,26.710514614080677,26.064093862456429,25.828992113877989,25.998644468414807,25.81613065405391,27.740890603302434,28.729391451750556,25.935144559227046 
 01/02  13:00:00,25.75833333333334,27.605568126359584,27.047982055066727,26.47312764225484,26.60528534974125,26.461722197181805,28.36526345276759,29.628575763450159,26.92134620716835 
 01/02  14:00:00,26.708333333333333,28.32288108568983,27.62664602524205,26.852665157381425,26.9671702388214,26.956789368508365,28.885792672424065,30.337255486049476,27.931788167131687 
 01/02  15:00:00,25.833333333333333,28.448508291483149,27.633274175493303,27.432460923231444,27.057996996773239,26.951061649094297,29.43341700596514,30.250001657549963,28.41730990731806 
 01/02  16:00:00,24.825,27.64734980754261,26.99698880062373,27.350196740662878,26.941029184796294,26.572988882996893,29.22715473745251,29.348960402659619,28.232969226438884 
 01/02  17:00:00,24.875,27.430289229612069,27.430653769471907,27.642237318136826,27.107610033984526,26.60375737363417,29.339203617264287,28.738027789499044,28.499859331567309 
 01/02  18:00:00,23.25,26.72392074892356,26.743370936593068,27.222121198839916,26.682313792480718,26.00375501804938,28.705174404190314,27.55314480314802,27.728788723013328 
 01/02  19:00:00,21.358333333333336,25.417284966371868,25.23418857994052,26.624325047621939,25.933297376998995,25.0908944349662,27.999442099381345,25.814242156678018,26.389203525434586 
