Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.540551491506496,24.767096118516773,25.72713323181267,25.756525274361484,25.469450068850575,26.14779861938035,23.84169916206477,25.040724113419356 
 01/01  02:00:00,19.125,24.25672992237317,24.349448039044046,25.292065688151309,25.38300771427644,25.22011656714139,25.610768135036936,23.19426263132721,24.422995608437334 
 01/01  03:00:00,19.0,24.02014631199864,24.116229468442286,25.029523602517867,25.174264752937757,25.02722884462815,25.311770295725393,22.83079254392044,24.066135357526524 
 01/01  04:00:00,19.349999999999999,23.901036100931426,24.037411213157978,24.93303890340133,25.126530238423358,25.01101790487765,25.232401642428696,22.749126341165185,23.953440485175393 
 01/01  05:00:00,19.833333333333333,23.891569072026529,24.08504506528132,24.86458006719981,25.10061808399647,25.047260416252173,25.190490736404276,22.78013554036619,23.88734360173161 
 01/01  06:00:00,20.0,23.830735523144769,24.00464832014575,24.752067018962124,25.025536065970646,24.9895004120395,25.09833696487515,22.73273634453017,23.758389708196007 
 01/01  07:00:00,19.125,23.727169487213645,23.622229839243134,24.40392568869486,24.7794645586229,24.732282423156634,24.843336439510876,22.80687066055327,23.35292769015845 
 01/01  08:00:00,19.375,24.01805613643474,23.67616641812553,24.38068762982483,24.81908578237209,24.772412029266169,25.181723432970668,23.89092961089393,23.4761727906188 
 01/01  09:00:00,21.166666666666669,24.869350181691613,24.4488121975681,24.834350021565475,25.063195515151877,25.036585767304968,26.003890550871998,25.73321137117537,24.273931425422366 
 01/01  10:00:00,23.28333333333333,25.723753636397864,25.466033523557589,25.40197966805502,25.611523717901734,25.79638633187695,26.94381428749583,27.490504027564538,25.288841159182085 
 01/01  11:00:00,25.25,26.64949712817563,26.357407154390584,26.008546317972603,26.20528996639287,26.439421854984859,27.807093148961476,28.867920050285237,26.268028064468813 
 01/01  12:00:00,27.75,27.68478998145569,27.220326051215677,26.42637029760081,26.643973660865968,27.132094636118027,28.62978323865062,29.985614836428128,27.09626440565144 
 01/01  13:00:00,29.7,28.418365800610379,27.848876834612559,26.769184133217498,26.952720702929289,27.54630863859359,29.230656015907987,31.036249704438146,27.81141421082245 
 01/01  14:00:00,30.666666666666669,28.775557832222217,28.217125062682979,27.08241924028708,27.200563822390323,27.84498721057409,29.632730746691285,31.619033259229608,28.515342409094186 
 01/01  15:00:00,31.0,29.22395904715219,28.73399416763968,28.023046157055949,27.451318008097407,28.104479849712786,30.845887796724229,31.778118114212629,29.143358055946309 
 01/01  16:00:00,29.13333333333334,29.382510908358467,29.145309513915636,28.602463540560426,27.89253592103689,28.37508944773167,30.75861485009222,31.355818888085314,30.054206046376569 
 01/01  17:00:00,27.916666666666669,29.076457981308335,29.449231481014299,28.825561438972433,28.14638784666829,28.334468594953266,30.54321808001164,30.464802703920129,30.102778430340064 
 01/01  18:00:00,29.75,29.651040415616977,30.366171594103319,29.293348649333308,28.33044650665332,28.55507226752093,31.06048143900787,30.386938298068335,30.65246053124051 
