Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.53435685403612,24.764381339258706,25.727125035784679,25.75651357977672,25.469414721543364,26.146502832429709,23.91620319034385,25.03969103465613 
 01/01  02:00:00,19.125,24.251309646178304,24.346898714137379,25.292057811844726,25.382996359731423,25.220083598362753,25.609457045770325,23.27524589759622,24.42195365498466 
 01/01  03:00:00,19.0,24.0155765619532,24.113943016262913,25.029516031686585,25.174253742083889,25.027197540125419,25.31044970019146,22.915321234740337,24.065090925347094 
 01/01  04:00:00,19.349999999999999,23.897284009398619,24.035393738647369,24.933031607390889,25.12651954013133,25.010987952819467,25.231075707552625,22.827062162361444,23.952399572024917 
 01/01  05:00:00,19.833333333333333,23.888614816012948,24.08331005298096,24.864573023437044,25.100607689204599,25.047231728750899,25.18916426559979,22.853821634840064,23.886312157217323 
 01/01  06:00:00,20.0,23.82855974137075,24.003167724519103,24.752060207176695,25.02552595600646,24.98947291068342,25.097016475518286,22.809498846343684,23.757376665753115 
 01/01  07:00:00,19.125,23.72571955298861,23.620992610897,24.403919117198357,24.779454752701473,24.732256634108628,24.84203496764224,22.88616877846303,23.351949251738558 
 01/01  08:00:00,19.375,24.004372837690665,23.67187648071422,24.38044356711009,24.8195975332807,24.77167484013548,25.183590915117759,23.951985511021176,23.478821447951238 
 01/01  09:00:00,21.166666666666669,24.866571532728586,24.44662718539598,24.835245660541337,25.063898166155626,25.037127345485,26.0030077741749,25.763025343321734,24.273606542184678 
 01/01  10:00:00,23.28333333333333,25.722339752043167,25.464802931543983,25.40196961629373,25.611513157772703,25.796297364617464,26.942675056518998,27.487150675071879,25.288095356910107 
 01/01  11:00:00,25.25,26.64817336855599,26.356153532798176,26.00853026715417,26.205276339542946,26.439338099376188,27.805942872672138,28.82796206654125,26.26722844129914 
 01/01  12:00:00,27.75,27.68239612917604,27.218491234729979,26.426352156105165,26.64395738376453,27.13200128612975,28.628585544181175,29.907680150377588,27.0951958149993 
 01/01  13:00:00,29.7,28.41445477693344,27.84636469427653,26.769167087407806,26.952704108481247,27.546218733566879,29.229224541087367,30.94829507635679,27.810311240796226 
 01/01  14:00:00,30.666666666666669,28.770141262273655,28.21391172172223,27.082403126498915,27.20054736075228,27.844902224958536,29.631228679564758,31.521843130937055,28.51423899761697 
 01/01  15:00:00,31.0,29.21714330295323,28.730269427531167,28.02303097001349,27.451301612397346,28.104398922565946,30.8446507095197,31.672672159881917,29.14225619426468 
