Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.537401516895075,24.765719832685723,25.727153969089256,25.75655605306893,25.469515431836557,26.146920919701235,23.813391018190346,25.040197908121514 
 01/01  02:00:00,19.125,24.253610410010677,24.34804302868153,25.292085352274559,25.383037133166999,25.220179175959005,25.609893694732773,23.1668622909723,24.4224724392793 
 01/01  03:00:00,19.0,24.01708506953302,24.11483655029781,25.029542245250643,25.17429282647369,25.027286844008264,25.310899277948896,22.805286700161046,24.065614898864255 
 01/01  04:00:00,19.349999999999999,23.898016568314579,24.036044416321447,24.933056614549725,25.126557043228094,25.01107300868551,25.231532725742708,22.725749740135269,23.952921657960905 
 01/01  05:00:00,19.833333333333333,23.888578089977476,24.083694210931417,24.864596915180518,25.10064370080204,25.047312907372146,25.18962285374978,22.759953368058789,23.88682505586559 
 01/01  06:00:00,20.0,23.82782023924356,24.003310749490585,24.752083064113039,25.02556058041188,24.9895504934305,25.097470268257948,22.715220315428444,23.757871593600098 
 01/01  07:00:00,19.125,23.72440983611486,23.620912367713389,24.40394092603901,24.77948796300662,24.7323295056934,24.842475774051935,22.78707813182768,23.352414243946617 
 01/01  08:00:00,19.375,24.015442800951509,23.674902277686646,24.38070215891783,24.819108170955134,24.772456768412856,25.180870399829947,23.846518541166544,23.475662713539639 
 01/01  09:00:00,21.166666666666669,24.866806973143697,24.44757607231044,24.83436396629037,25.06321752920645,25.036629177953313,26.0030429412446,25.676165540067517,24.273422144776516 
 01/01  10:00:00,23.28333333333333,25.72106821707789,25.464783763987353,25.401992970610026,25.611545084314686,25.796428327596506,26.942965814970778,27.4202521994908,25.28832822386062 
