Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.613574050043196,24.798569374627396,25.7273185578189,25.756652817347147,25.469592457258118,26.163760184488426,24.036796421386783,25.052257689490245 
 01/01  02:00:00,19.125,24.326438431994608,24.380825385893336,25.292240761775547,25.383130021649806,25.22025180713433,25.62680528754831,23.356882930355455,24.434539250001924 
 01/01  03:00:00,19.0,24.08557008606994,24.146338407224524,25.02968940054328,25.174382025425446,25.027355416970719,25.32786411327002,22.96742799224286,24.077684921562338 
 01/01  04:00:00,19.349999999999999,23.96226071977279,24.065904838324668,24.933196543798564,25.12664284514702,25.011138817199599,25.248553017613078,22.87860451939542,23.964995335744676 
 01/01  05:00:00,19.833333333333333,23.949232473267178,24.1122529508943,24.864730970687046,25.10072796518446,25.047376131057236,25.20669145797001,22.893652525675447,23.8989014345623 
 01/01  06:00:00,20.0,23.884695022297995,24.030756971837336,24.752210658989158,25.025640470548038,24.98961129118037,25.114556156094684,22.825408865475909,23.76991133909858 
 01/01  07:00:00,19.125,23.77613678032562,23.647195673206939,24.404062772429144,24.779565221628759,24.732386622245618,24.859458513555884,22.923217393501507,23.36428454998486 
 01/01  08:00:00,19.375,24.062621082454645,23.699497701755459,24.380819057733019,24.819182950818364,24.77251150653758,25.197696108074255,24.098437538164423,23.487363962631645 
 01/01  09:00:00,21.166666666666669,24.91078874681894,24.47098534374993,24.834476976274588,25.06329203230744,25.03668336726626,26.019744069937557,26.098645496909417,24.284989109364149 
 01/01  10:00:00,23.28333333333333,25.76449956742557,25.487536157413876,25.402101780230976,25.61161845542786,25.796480673390943,26.959632734876086,28.0379481646244,25.299841225980065 
 01/01  11:00:00,25.25,26.69779967471202,26.380404270527039,26.006996774072886,26.20353316711358,26.439307778060763,27.820072098344885,29.59557013708093,26.275331816623603 
 01/01  12:00:00,27.75,27.732729153334124,27.25170501769377,26.426630621094487,26.64418127134803,27.132992916476593,28.64608993539153,31.00861256797083,27.1112272083184 
 01/01  13:00:00,29.7,28.48301424835435,27.89290098969617,26.7691832716008,26.952745378047998,27.548717663184168,29.250309759992026,32.215584926462849,27.826283176245274 
 01/01  14:00:00,30.666666666666669,28.840613073546718,28.257648892974129,27.08263784074399,27.20076733936958,27.84545777598632,29.654046758613437,32.75440485708189,28.530701414091749 
 01/01  15:00:00,31.0,29.295437351597916,28.775721243583676,28.02325210277661,27.45150916492904,28.104840167365976,30.86348704016676,32.905304487353429,29.158804137001999 
 01/01  16:00:00,29.13333333333334,29.44847430904144,29.181172957959718,28.602644642230687,27.892717440356227,28.375379072692128,30.77370689642743,32.615191382271657,30.066771223523575 
 01/01  17:00:00,27.916666666666669,29.13846672524417,29.480811438343666,28.825709993846045,28.146538626947956,28.334682142212118,30.55686364648966,31.630509068084185,30.113635020304867 
 01/01  18:00:00,29.75,29.71897612511779,30.39184595308261,29.301936681731445,28.332281044599637,28.556284262813539,31.080531668730374,31.47070178899915,30.67343013987893 
 01/01  19:00:00,28.78333333333333,29.43345137666898,29.98534205352256,29.255577105473124,28.158385210735358,28.378086723094954,30.80661559095198,30.368280870285778,29.97538799067898 
 01/01  20:00:00,25.916666666666669,27.886237648938108,28.057990055336945,28.510773590481376,27.586054558165114,27.42145987061373,29.747458273473979,28.323280028280015,28.531367215646815 
 01/01  21:00:00,23.833333333333333,26.831754618465284,26.94849843515018,27.860298009212696,26.958553303660439,26.694361846923234,28.949992011590138,26.886240216994339,27.47657527828056 
 01/01  22:00:00,22.825000000000004,26.327241390113838,26.39582509351072,27.49109282650531,26.57976548210924,26.262403662157678,28.484636891447989,26.000353199136325,26.825989647659627 
 01/01  23:00:00,22.291666666666669,25.513190371170354,25.454209684492679,26.647393309905977,26.502545570112049,26.073381042952833,27.389067632175636,25.425747342704275,26.36053240556063 
 01/01  24:00:00,21.416666666666669,24.875451100172087,25.074908649651197,26.232412794471867,26.250194264171446,25.734737119749754,26.85523627328303,24.818402349292354,25.81337369851737 
 01/02  01:00:00,21.0,24.81613222262202,25.11052228182953,25.981611468606237,26.016873827344573,25.70235506765376,26.490120525282909,24.34495231786042,25.399129429477715 
 01/02  02:00:00,21.0,24.66902370802556,24.905985045099894,25.79763413207604,25.884227289241108,25.70750014282154,26.27554839843584,24.05993858975103,25.13950830494524 
 01/02  03:00:00,21.0,24.37038894545996,24.660760677652254,25.598090412084117,25.73462044153312,25.48558987841271,26.061318772716665,23.793792656600674,24.87970549999123 
 01/02  04:00:00,20.416666666666669,24.052174010542278,24.584497228873006,25.311228457476607,25.489776700094678,25.292155866375408,25.724757271251617,23.487492699455076,24.48864939057363 
 01/02  05:00:00,20.0,23.893536881203628,24.2226178338794,25.01078192768144,25.236867599961973,25.129612270829644,25.387542873945195,23.13089529240273,24.09533507158959 
 01/02  06:00:00,20.0,23.737577815344314,23.94360819174769,24.84206382984125,25.103470057992117,25.00056872646356,25.233594069683649,22.938222421361787,23.872420831557255 
 01/02  07:00:00,20.175,23.839081364174367,23.955767076499205,24.774931912985719,25.139949899803815,25.027222643168057,25.46254477941615,23.58814745302016,23.860235297643475 
 01/02  08:00:00,20.708333333333333,24.566174792617308,24.278281798615667,24.851221363755525,25.27413420193423,25.27077417844936,26.100379921117935,25.35882022933043,24.09858488495853 
 01/02  09:00:00,22.166666666666669,25.58357217931083,24.997163992918727,25.213892950889944,25.428255004401497,25.649044380177349,27.01963352489582,27.667363604627309,24.75756750171195 
 01/02  10:00:00,22.475000000000006,25.982764332940368,25.33582478177185,25.35228546393182,25.54796140288721,25.77602158602941,27.39507879011555,28.919010981449519,25.113164409973636 
 01/02  11:00:00,22.041666666666669,26.063621388223983,25.373766400127825,25.339772446181248,25.53277458088448,25.68695269357941,27.340736176882847,29.073284184571319,25.217882555946959 
 01/02  12:00:00,23.75,26.750621983825938,26.085633372664775,25.829416667156268,26.004168582284064,26.19928784606147,27.75652631969704,29.782685639692774,25.945597146487015 
 01/02  13:00:00,25.75833333333334,27.648180296150686,27.07127763661082,26.47356067312589,26.610894147791865,26.809273048721239,28.380913890796678,30.92654528398984,26.931723217712017 
 01/02  14:00:00,26.708333333333333,28.370326713969786,27.650467097576408,26.853145430291776,26.973073184503446,27.276029465198879,28.901390356609029,31.780891384728453,27.94182297912316 
 01/02  15:00:00,25.833333333333333,28.500870569513649,27.657571155981999,27.432856378645185,27.063619350341044,27.2194890308774,29.447983243555084,31.732066221372475,28.42697578376499 
 01/02  16:00:00,24.825,27.706625950598224,27.021748423849489,27.350563400842998,26.946643811742449,26.78857789630571,29.241434593960436,30.63387710001362,28.24253099347706 
 01/02  17:00:00,24.875,27.495054708037846,27.455611386087808,27.6426061450492,27.11320277475028,26.773385695780644,29.353326168487997,29.92639609721837,28.50926193116555 
 01/02  18:00:00,23.25,26.795176491178667,26.77004252114807,27.222496886577927,26.687907388441773,26.135828825659968,28.71941757685275,28.50223574633983,27.738132699052004 
