Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ESTAR:Zone Operative Temperature [C](Hourly),JANTAR:Zone Operative Temperature [C](Hourly),ESCRITORIO:Zone Operative Temperature [C](Hourly),QUARTO1:Zone Operative Temperature [C](Hourly),QUARTO2:Zone Operative Temperature [C](Hourly),EXERCICIO:Zone Operative Temperature [C](Hourly),GARAGEM:Zone Operative Temperature [C](Hourly),LAVAND:Zone Operative Temperature [C](Hourly) 
 01/01  01:00:00,20.008333333333334,24.531369227737405,24.762174510466698,25.72709855530881,25.756478143598188,25.469344123930069,26.14570486727078,23.89573522295596,25.036208965618916 
 01/01  02:00:00,19.125,24.24979891422043,24.345254052411247,25.292032572006975,25.382962332746918,25.220013810158098,25.60865125655476,23.263357485755554,24.41907748813969 
 01/01  03:00:00,19.0,24.015223487042719,24.112762020606096,25.029491973871303,25.17422112369245,25.02713213569957,25.309637400230359,22.905650294281015,24.0627642958038 
 01/01  04:00:00,19.349999999999999,23.8974813674003,24.03448121388942,24.93300862230355,25.126488260252818,25.010925716741668,25.230257374714588,22.818469147982765,23.95054148889588 
 01/01  05:00:00,19.833333333333333,23.888865022440457,24.082452616735237,24.86455102865867,25.100577661061008,25.047172380829314,25.188340895712185,22.8388431784968,23.884797280999494 
 01/01  06:00:00,20.0,23.829499507457375,24.002628722024796,24.752039130011324,25.02549708769222,24.989416242221865,25.09619022986541,22.79589976532148,23.756187725354648 
 01/01  07:00:00,19.125,23.72599314101816,23.620250024706665,24.4038989716654,24.779427061995663,24.732203359097455,24.841212365350527,22.842340898126854,23.351010178700688 
 01/01  08:00:00,19.375,24.001723659108455,23.669973724940264,24.380424223555506,24.81957090705451,24.771624202959449,25.182775042191058,23.859386725310555,23.477841178081595 
 01/01  09:00:00,21.166666666666669,24.85851754899708,24.44243950080147,24.835226967861389,25.06387186306033,25.037078143904198,26.002197632555494,25.615054688498394,24.27209836229699 
 01/01  10:00:00,23.28333333333333,25.708702306721194,25.458335775638486,25.40195162025022,25.611487476625514,25.79624958218321,26.9418665056677,27.31224506084725,25.285691195394678 
 01/01  11:00:00,25.25,26.629975245988317,26.346590285580949,26.008511956697295,26.205250703108225,26.439294423090826,27.805132646254877,28.628723957540289,26.2635316041283 
 01/01  12:00:00,27.75,27.65204665429414,27.197632385952436,26.426222378000145,26.643737615264926,27.12966609410059,28.630769128807349,29.69384780373998,27.088126574881597 
 01/01  13:00:00,29.7,28.37520538612471,27.821037919346624,26.7691620383625,26.95268728660174,27.54454193237771,29.228779815534329,30.699814133271123,27.80154820721869 
 01/01  14:00:00,30.666666666666669,28.736474082579119,28.193034759282367,27.082328441652398,27.2004612810304,27.844593735130095,29.630119709303373,31.319964841197188,28.50416239127703 
 01/01  15:00:00,31.0,29.186696610259756,28.71237196045328,28.02296668759783,27.45122619795417,28.10417233222172,30.84370999968608,31.508659726779599,29.13154951681732 
 01/01  16:00:00,29.13333333333334,29.34646029950264,29.125876608420826,28.60239671021749,27.892450771205416,28.374843082876777,30.75675384146454,31.031625413930369,30.043786460104188 
 01/01  17:00:00,27.916666666666669,29.045374003972513,29.43263863668118,28.825507939955867,28.146318019218808,28.334285672829539,30.541574123661666,30.196617832885108,30.093122036081863 
 01/01  18:00:00,29.75,29.618206811935598,30.349075511203514,29.29329262802925,28.330369213724415,28.554851717214718,31.058648190030767,30.1433756545738,30.6420257826491 
 01/01  19:00:00,28.78333333333333,29.331949516565829,29.937565013434719,29.256704851524888,28.157988723088708,28.3776135707018,30.79096334533374,29.437026682385637,29.954017027727109 
 01/01  20:00:00,25.916666666666669,27.790147285658028,28.020393787358505,28.510576301881785,27.585823730890274,27.42114021752064,29.731624654011623,27.786087666469638,28.511570207265256 
 01/01  21:00:00,23.833333333333333,26.73760050785249,26.91085358318881,27.859995556647488,26.958324970456478,26.694057801918694,28.933520889976504,26.487103584357557,27.457964454813724 
 01/01  22:00:00,22.825000000000004,26.234230758928218,26.35756190369168,27.490814718758157,26.579551003734108,26.262113158344495,28.468101341414429,25.678655080897785,26.808220944109505 
 01/01  23:00:00,22.291666666666669,25.42595185277129,25.42044327011811,26.647123388873966,26.50234897517557,26.073110510037237,27.3712125690049,25.16512076943968,26.34341634090872 
 01/01  24:00:00,21.416666666666669,24.793951724496244,25.04185935384812,26.23215697173853,26.250006239162535,25.734472422291856,26.837156851395219,24.618046661925236,25.796789650624509 
 01/02  01:00:00,21.0,24.73457893666416,25.07587416402914,25.98136839558344,26.016691919465687,25.702095998582214,26.471856380859447,24.19525648194976,25.383019281467097 
 01/02  02:00:00,21.0,24.593021364149825,24.871262685194848,25.79740412868216,25.884053049061355,25.70724948963461,26.257128490299399,23.951573895363237,25.123863915107198 
 01/02  03:00:00,21.0,24.301379642167363,24.628277369963084,25.597872204187266,25.734453145370819,25.485358381221557,26.042781553832783,23.71948192310697,24.864518160338549 
 01/02  04:00:00,20.416666666666669,23.98568279754883,24.551739991614068,25.311020801886529,25.48961557360472,25.291933586512518,25.70617344861783,23.419478862824858,24.47393494852393 
 01/02  05:00:00,20.0,23.830742944394787,24.19205331345634,25.010583946099275,25.236712288882364,25.129397632691835,25.368950689194138,23.08255872673912,24.08105775978521 
 01/02  06:00:00,20.0,23.68412170589617,23.91654057723586,24.84187485729764,25.10332048983419,25.000361774978655,25.21503700317443,22.925329780198266,23.858622674826564 
 01/02  07:00:00,20.175,23.790136164319806,23.93019912740155,24.774751319185915,25.139806336582337,25.027025523189605,25.444120945498413,23.516992679523715,23.846871362416903 
 01/02  08:00:00,20.708333333333333,24.516582531172174,24.250044088951275,24.851215927230489,25.274239603063127,25.266107639316826,26.083123055145128,25.123897532089079,24.08609641305353 
 01/02  09:00:00,22.166666666666669,25.52065644201261,24.965647743251539,25.21393903236334,25.426076176075275,25.646953153972207,27.003590837300107,27.172135715568485,24.74626720606523 
 01/02  10:00:00,22.475000000000006,25.92919198683629,25.306597324185053,25.352104899062579,25.547670260712719,25.775523990651917,27.3773286169387,28.158142549918805,25.098938520198087 
 01/02  11:00:00,22.041666666666669,26.005602725693409,25.343090525076524,25.339609620025646,25.532541090723897,25.686580130326644,27.32311649923967,28.044231710971059,25.20285148186781 
 01/02  12:00:00,23.75,26.684789911530677,26.051608674988147,25.829257877010464,26.003955894120265,26.1989567733912,27.738975374189598,28.45328396082888,25.9294904674469 
 01/02  13:00:00,25.75833333333334,27.572688388303815,27.031345812015887,26.47340302144328,26.61069124794109,26.808971159947335,28.363358897814824,29.26439821462459,26.91408900036238 
 01/02  14:00:00,26.708333333333333,28.284268241973434,27.607888984922018,26.8529745268907,26.972863502355179,27.275740439707876,28.88390982992406,29.92781594517233,27.923113105803158 
 01/02  15:00:00,25.833333333333333,28.410911483093753,27.616015836544635,27.432717113756998,27.063434033246428,27.21924092652282,29.431599744598374,29.861303669416328,28.407912020158478 
 01/02  16:00:00,24.825,27.61760868643253,26.98424175763584,27.35043950223613,26.946475066903245,26.788361345098367,29.225443708857147,29.11044698445092,28.223504804937194 
 01/02  17:00:00,24.875,27.404111396678549,27.42014997453523,27.6424860707909,27.11304437816951,26.77319017261081,29.33751326231989,28.549770170626038,28.490923778332406 
 01/02  18:00:00,23.25,26.701152433785,26.734482922442465,27.22237866697202,26.68775213913807,26.135643942494935,28.70346637120699,27.440702323449256,27.720391352721454 
 01/02  19:00:00,21.358333333333336,25.400736494517859,25.227640648182,26.62458381303203,25.93876635552985,25.190286661814047,27.99775198302935,25.808852507678293,26.381819285046438 
 01/02  20:00:00,20.375,24.604570307439447,24.521193456836405,26.26611535379287,25.528510512915167,24.669912450228954,27.454314777215314,24.66403280495179,25.523290176605589 
 01/02  21:00:00,20.0,24.332936638610609,24.405584533703878,26.10149770574436,25.329540565301899,24.52832457788294,27.16100897306036,24.023800728982044,25.031987003508605 
 01/02  22:00:00,19.416666666666669,24.052547454524775,24.115019319443844,25.81885261550718,25.043959162335815,24.28538766021394,26.800967718316558,23.50955936588463,24.516633645266599 
 01/02  23:00:00,19.0,23.252213057362665,23.364622366540904,25.002473598419358,25.022295945553386,24.083957483809955,25.68447247701872,23.061275823606196,24.085474092830624 
 01/02  24:00:00,18.416666666666669,22.92938324496831,23.20814887796172,24.60466556609713,24.759837503405295,23.995360036938619,25.179486626204335,22.591757947901546,23.5723601959892 
 01/03  01:00:00,18.408333333333336,22.831983825017067,23.182711763519764,24.403638593011768,24.582994453062815,23.923429505516059,24.92719312658654,22.299263621341919,23.296958949229248 
 01/03  02:00:00,18.291666666666669,22.925799951855976,23.04700954963344,24.201130421066979,24.42282915731987,24.03931742515371,24.664292675444228,22.06907969255202,22.994690791531288 
 01/03  03:00:00,18.0,22.73646126364235,22.800247495864484,23.94069724278135,24.208862104393459,23.91748903384551,24.365868107971836,21.764403834641795,22.65337865452206 
 01/03  04:00:00,17.883333333333334,22.537296661976567,22.603820800930806,23.728625735430197,24.032966069035127,23.773534646984428,24.127174460883269,21.536309294977455,22.376394694647276 
 01/03  05:00:00,18.5,22.494553662151789,22.65947716836118,23.711685375071995,24.050002765797129,23.807479894359437,24.138312929840255,21.548204348478725,22.380767598190535 
 01/03  06:00:00,18.416666666666669,22.444966396400873,22.61862668800437,23.54015153086651,23.900908347489737,23.731072127493979,24.004208220005766,21.53329109589313,22.177038264665055 
 01/03  07:00:00,17.766666666666667,22.26778979619091,22.323343784225839,23.241392893839096,23.700650394148857,23.451387939717806,24.074698767399118,22.051447364530305,21.883697037252906 
 01/03  08:00:00,17.833333333333333,22.80333561082301,22.34921677189767,23.18644517258612,23.694330973173178,23.44307087665257,24.709511145288933,23.730045048113014,21.954207276476536 
 01/03  09:00:00,18.583333333333333,23.61924436562148,22.837799123501005,23.350642887524289,23.641352892782668,23.66141342062698,25.454842368895787,25.60819118799485,22.33353067720884 
 01/03  10:00:00,19.758333333333334,24.018408804840253,23.330801179402714,23.662904097019653,23.934382500435054,23.90525665978454,26.06198310789777,26.688194052320097,22.917364657913156 
 01/03  11:00:00,21.291666666666669,24.46602889520103,23.878742481804115,24.122146671352014,24.373277162105393,24.229407452656195,26.529831801161106,27.075295488802437,23.682242743556768 
